epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3951,1.19963,2.60444,1.8788,1.26822,0.7131,0.42738,0.45198,0.31931,0.69386,0.40588,0.42411,0.2456,1.08872,2.29108,1.85327,1.14599,0.0003375,0.0003375,0.0003375
2,20.1207,0.8839,1.41179,0.77907,1.0295,0.72744,0.45829,0.48543,0.34892,0.6885,0.42689,0.43519,0.2554,0.99259,2.23316,1.3749,1.1085,0.000685231,0.000685231,0.000685231
3,29.7446,0.84098,1.26581,0.69863,1.0056,0.76153,0.49618,0.54067,0.39178,0.7725,0.46186,0.509,0.3158,0.94092,2.09136,0.98669,1.06605,0.00103065,0.00103065,0.00103065
4,39.4879,0.8341,1.23648,0.68658,0.99744,0.75836,0.47555,0.51737,0.36168,0.75009,0.46199,0.50341,0.29605,0.9927,2.05872,1.24116,1.08854,0.00123763,0.00123763,0.00123763
5,48.9857,0.80921,1.16207,0.64993,0.99671,0.79448,0.50294,0.53956,0.40154,0.7799,0.47814,0.51681,0.32197,0.91718,1.84705,0.88019,1.05957,0.0012335,0.0012335,0.0012335
6,58.6423,0.80908,1.18374,0.62735,0.98819,0.80484,0.51837,0.55686,0.40894,0.78785,0.49884,0.53596,0.33928,0.8707,1.40267,0.85253,1.01469,0.00122937,0.00122937,0.00122937
7,68.3354,0.7562,1.05719,0.58428,0.96928,0.86469,0.53056,0.58733,0.44259,0.83654,0.50913,0.56544,0.37182,0.78797,1.42445,0.64037,0.95659,0.00122525,0.00122525,0.00122525
8,78.0286,0.74578,1.06553,0.58841,0.9653,0.81623,0.51722,0.56808,0.42383,0.77925,0.48926,0.53641,0.35073,0.89791,1.40607,0.75192,1.0413,0.00122112,0.00122112,0.00122112
9,87.5134,0.74133,1.02187,0.57274,0.9578,0.87692,0.5424,0.60336,0.46869,0.84569,0.51449,0.57362,0.393,0.75723,1.18236,0.58589,0.94541,0.001217,0.001217,0.001217
10,97.1933,0.71963,1.00055,0.542,0.94984,0.89507,0.54331,0.59639,0.46164,0.86305,0.52377,0.57815,0.38988,0.75152,1.14229,0.58647,0.94788,0.00121287,0.00121287,0.00121287
11,106.747,0.70802,0.98842,0.53325,0.95006,0.9012,0.55128,0.60895,0.4734,0.87763,0.52547,0.58714,0.39775,0.71123,1.11465,0.53978,0.92428,0.00120875,0.00120875,0.00120875
12,116.437,0.68583,0.94076,0.51183,0.93594,0.89841,0.55647,0.61754,0.48244,0.86872,0.52928,0.59113,0.40853,0.71167,1.08114,0.53498,0.92121,0.00120462,0.00120462,0.00120462
13,126.107,0.67693,0.9312,0.49903,0.93263,0.88266,0.56408,0.61684,0.4819,0.85965,0.52935,0.59077,0.40106,0.69688,1.06471,0.51044,0.91792,0.0012005,0.0012005,0.0012005
14,135.67,0.67811,0.91224,0.4988,0.93566,0.89927,0.56863,0.62357,0.49156,0.87034,0.54842,0.60594,0.41589,0.68812,1.06129,0.50183,0.916,0.00119637,0.00119637,0.00119637
15,145.37,0.64913,0.88613,0.47511,0.92143,0.88851,0.57074,0.62263,0.49451,0.87589,0.52757,0.59102,0.40723,0.67758,1.06252,0.49405,0.91227,0.00119225,0.00119225,0.00119225
16,154.951,0.65644,0.89377,0.48029,0.92454,0.89657,0.57159,0.62956,0.4992,0.8734,0.54585,0.61106,0.42109,0.66154,0.97205,0.50744,0.90382,0.00118812,0.00118812,0.00118812
17,164.612,0.64445,0.87907,0.47918,0.92409,0.8924,0.57184,0.62857,0.49278,0.86565,0.54631,0.60878,0.41778,0.6853,0.98362,0.49335,0.92403,0.001184,0.001184,0.001184
